ceratophrys ornata,0,SNTS,species,,,No Valid Country Found,No Valid Country Found,
ceratophrys sp,1,3KV4,Genus Matched. Species not found,,,No Valid Country Found,No Valid Country Found,ceratophrys sp
adelphobates galactonotus,2,9YN4,species,,,No Valid Country Found,No Valid Country Found,
adelphobates galactonotus,3,9YN4,species,,,No Valid Country Found,No Valid Country Found,
dendrobates auratus sp,4,34M7L,species,,Middle America,No Valid Country Found,No Valid Country Found,
"dendrobates auratus sp ""pena blanca""",5,34M7L,species,,Middle America,No Valid Country Found,No Valid Country Found,
"dendrobates auratus sp ""birkhahn""",6,34M7L,species,,Middle America,No Valid Country Found,No Valid Country Found,
"dendrobates auratus sp ""colombian yellow capurgana""",7,34M7L,species,,Middle America,No Valid Country Found,No Valid Country Found,
"dendrobates auratus sp ""super blue""",8,34M7L,species,,Middle America,No Valid Country Found,No Valid Country Found,
"dendrobates auratus sp ""microspot""",9,34M7L,species,,Middle America,No Valid Country Found,No Valid Country Found,
"dendrobates leucomelas sp ""bumblebee""",10,34M8X,species,,,No Valid Country Found,No Valid Country Found,
"dendrobates leucomelas sp ""yellow banded""",11,34M8X,species,,,No Valid Country Found,No Valid Country Found,
"dendrobates tinctorius sp ""azureus""",12,6CJSY,species,,,No Valid Country Found,No Valid Country Found,
"dendrobates tinctorius sp ""azureus""",13,6CJSY,species,,,No Valid Country Found,No Valid Country Found,
"dendrobates tinctorius sp ""tumucumaque""",14,6CJSY,species,,,No Valid Country Found,No Valid Country Found,
"dendrobates tinctorius sp ""dyeing""",15,6CJSY,species,,,No Valid Country Found,No Valid Country Found,
"dendrobates tinctorius sp ""awarape blue""",16,6CJSY,species,,,No Valid Country Found,No Valid Country Found,
ranitomeya benedicta,17,78T37,species,,,No Valid Country Found,No Valid Country Found,
ranitomeya vanzolinii,18,78SQX,species,,,No Valid Country Found,No Valid Country Found,
megophrys nasuta,19,3Z2BX,species,,,No Valid Country Found,No Valid Country Found,
pyxicephalus adspersus,20,4QYCF,species,,,No Valid Country Found,No Valid Country Found,
theloderma corticale,21,568HJ,species,,,No Valid Country Found,No Valid Country Found,
agalychnis callidryas,22,65JNR,species,,Middle America,No Valid Country Found,No Valid Country Found,
kaloula pulchra,23,3QZL4,species,,,No Valid Country Found,No Valid Country Found,
tylototriton asperrimus,24,7DBLB,species,,,No Valid Country Found,No Valid Country Found,
tylototriton uyenoi,25,7DBJY,species,,,No Valid Country Found,No Valid Country Found,
cynops ensicauda,26,6C7WR,species,,,No Valid Country Found,No Valid Country Found,
cynops ensicauda popei,27,B758H,subspecies,,,No Valid Country Found,No Valid Country Found,
andrias sp,28,VTF,Genus Matched. Species not found,,,No Valid Country Found,No Valid Country Found,andrias sp
,29,,name not found,,,No Valid Country Found,No Valid Country Found,
,30,,name not found,,,No Valid Country Found,No Valid Country Found,
aphonopelma seemanni,31,FJSX,species,,Central America,No Valid Country Found,No Valid Country Found,
brachypelma boehmei,32,MYBN,species,,Mexico,Mexico,Mexico,
brachypelma smithi,33,MYBY,species,,Mexico,Mexico,Mexico,
cyriopagopus lividus,34,33JSM,species,,"Myanmar, Thailand",Myanmar,"Myanmar, Thailand",
cyriopagopus minax,35,33JSP,species,,"Myanmar, Thailand",Myanmar,"Myanmar, Thailand",
grammostola pulchripes,36,3H7H5,species,,"Paraguay, Argentina",Argentina,Argentina,
pterinochilus murinus,37,6WLFJ,species,,"Angola, Central, East, Southern Africa",Angola,Angola,
,38,,name not found,,,No Valid Country Found,No Valid Country Found,
centrochelys sulcata,39,S9KW,species,,"Ethiopia, Eritrea, Sudan (Jumhūriyyat), Republic of South Sudan (RSS), Chad, Niger, Mali, S Mauritania, Senegal, Central African Republic (range generally lies along the southern perimeter of the Sahara Desert), Cameroon",Ethiopia,"Ethiopia, Eritrea, Sudan, Chad, Niger, Senegal, Central African Republic",
astrochelys radiata,40,J439,species,,Madagascar (Antandroy Territory in the south between the Mandrare and Menarandra waterways). Endemic.,No Valid Country Found,No Valid Country Found,
astrochelys yniphora,41,5VVSV,species,,NW Madagascar (small area about Baly Bay),No Valid Country Found,No Valid Country Found,
chelonoidis carbonarius,42,TVL4,species,,"Nicaragua (Great Corn Island and mainland locations), SE Panama, Colombia (west of the Andes in Choco), east of the Andes in E Colombia, Venezuela, Guyana, French Guiana, Suriname, E Brazil (south to Rio de Janeiro; seems absent from almost all but the eastern parts of the Amazon Basin: Rio Grande do Sul, Goias, Espírito Santo, Ceará, Bahia etc.), Peru, E Bolivia, Paraguay, N Argentina, Trinidad, Virgin Islands (St. Croix); introduced to a number of Carribean Islands (incl. Providencia, Grenadine islands, St. Kitts)",Nicaragua,"Nicaragua, Colombia, Colombia, Venezuela, Guyana, Brazil, Peru, Bolivia",
chelonoidis carbonarius,43,TVL4,species,,"Nicaragua (Great Corn Island and mainland locations), SE Panama, Colombia (west of the Andes in Choco), east of the Andes in E Colombia, Venezuela, Guyana, French Guiana, Suriname, E Brazil (south to Rio de Janeiro; seems absent from almost all but the eastern parts of the Amazon Basin: Rio Grande do Sul, Goias, Espírito Santo, Ceará, Bahia etc.), Peru, E Bolivia, Paraguay, N Argentina, Trinidad, Virgin Islands (St. Croix); introduced to a number of Carribean Islands (incl. Providencia, Grenadine islands, St. Kitts)",Nicaragua,"Nicaragua, Colombia, Colombia, Venezuela, Guyana, Brazil, Peru, Bolivia",
chelonoidis denticulatus,44,TVL9,species,,"SE Venezuela, Caribbean lowlands of Guyana, French Guiana, and Suriname; Brazil (Amazon Basin, isolated range in E Brazil, Espírito Santo, Pará, Rio de Janeiro), E Ecuador, Colombia, NE Peru (Pasco), N/E Bolivia, Trinidad, Guadeloupe.",Venezuela,"Venezuela, Guyana, Suriname, Brazil, Brazil, Ecuador, Colombia",
chelonoidis niger,45,5Y2Z9,species,,Ecuador (Galapagos: Charles [Floreana],Ecuador,Ecuador,
indotestudo elongata,46,3PNQV,species,,"Nepal, Bangladesh, Bhutan, NE India (Assam, Jalpaiguri, East Bengal, and Singhbhum in Bihar), Myanmar (= Burma), Laos, Thailand (incl. Phuket), Cambodia, Vietnam, W Malaysia, S China",Bangladesh,"Bangladesh, Bhutan, Myanmar, Laos, Thailand, Cambodia, Vietnam",
stigmochelys pardalis,47,52MQ5,species,,"S Sudan (Jumhūriyyat), Republic of South Sudan (RSS), Ethiopia, Somalia, Kenya, Uganda, Tanzania,",Ethiopia,"Ethiopia, Somalia, Kenya, Uganda, Tanzania",
testudo hermanni,48,7C3D6,species,,"E Spain (also introduced to the Balearics: Mallorca, Menorca),",Spain,Spain,
testudo horsfieldii,49,55JSY,species,,"Azerbaijan, S Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan, N/E Iran, Afghanistan, N Pakistan, N/W Baluchistan, NW China (Xinjiang); elevations up to 2400 m (in Afghanistan fide WERNING & WOLF 2007).",Azerbaijan,"Azerbaijan, Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan, Afghanistan, Afghanistan",
aldabrachelys gigantea,50,6689N,species,,"Aldabra Atoll (Indian Ocean, Grande Terre, Picard, Malabar), introduced on Curieuse and Fregate (granitic Seychelles). Small groups exist on Cerf, Moyenne, Silhouette, Cousin, Cousine, Bird and Denis in the central Seychelles, on several of the Amirantes, and on Changu Island near Zanzibar (Tanzania).",Seychelles,"Seychelles, Seychelles, Tanzania",
terrapene carolina bauri,51,B46PJ,subspecies,,"USA (S Maine, S New Hampshire, SE New York, Massachusetts, Connecticut, Pennsylvania, New Jersey, Delaware, Maryland, West Virginia, Virginia, North Carolina, South Carolina, Georgia, Florida, Alabama, Mississippi, Louisiana, Missouri, Arkansas, S Illinois, Indiana, Michigan, Ohio, Kentucky, Tennessee, E Kansas, E Oklahoma, C/E Texas)",Georgia,Georgia,
mauremys reevesii,52,3YFWL,species,,"Japan (Honshu, Kyushu) [?], South Korea, Taiwan, China (south of the Yangtze River west to Canton: Sichuan, Shaanxi, Hubei, Henan, Anhui, Zhejiang, Jiangxi, Hong Kong, Fujian), Timor-Leste.",Japan,"Japan, South Korea, Taiwan, China, Hong Kong",
apalone ferox,53,F6QN,species,,"USA (SW South Carolina, S Georgia, Florida, S Alabama)",No Valid Country Found,No Valid Country Found,
carettochelys insculpta,54,R7VH,species,,"Papua New Guinea (Fly, Strickland, Morehead, Lorentz, Stekwa rivers, Lake Jamur),",Papua New Guinea,Papua New Guinea,
chelodina longicollis,55,5XQY4,species,,"Australia (New South Wales, Queensland, South Australia, Victoria)",Australia,Australia,
chelus fimbriata,56,87WF9,species,,USA (introduced to Florida),No Valid Country Found,No Valid Country Found,
chelydra serpentina,57,TWRZ,species,,"S Canada (from Nova Scotia, New Brunswick, S Quebec, Ontario, west to Manitoba, SE Alberta, Saskatchewan),",No Valid Country Found,No Valid Country Found,
chelydra serpentina,58,TWRZ,species,,"S Canada (from Nova Scotia, New Brunswick, S Quebec, Ontario, west to Manitoba, SE Alberta, Saskatchewan),",No Valid Country Found,No Valid Country Found,
chrysemys picta,59,5YKRV,species,,"S Canada (Nova Scotia, New Brunswick, Quebec, Ontario, Manitoba, Saskatchewan, Alberta ?, British Columbia),",No Valid Country Found,No Valid Country Found,
clemmys guttata,60,VYSQ,species,,"Canada (S Ontario, Quebec),",Canada,Canada,
cuora amboinensis,61,6BRNN,species,,"India (Nicobar Islands, Assam), Bhutan, Bangladesh, Myanmar (= Burma), Thailand, Cambodia, Vietnam, West Malaysia (incl. Pulau Pangkor, Tuba Island), Singapore, Philippines (Panay, Luzon, Mindanao, Cebu, Sibuyan etc.),",India,"India, Bhutan, Bangladesh, Myanmar, Thailand, Cambodia, Vietnam, Singapore, Philippines",
