Kind,Kind2,Kind3,Kind4,Common Name,Common name2,Common name3,Common Name Common name2 Common name3,Bi or Trinomial Name,Sp Short Name,Kingdom,Phylum,Class,Order,Infraorder,Clade,Sub Order,Superfamily,Family,Sub family,Tribe,Genus,Sub Genus,Species,Sub species 1,Sub Species 2,Prior binomial name,Kind > Kind2 Kind3,"Genus > Species > 
 > Sub species 1","Common Name
 > Bi or Trinomial Name",Code1,Code2,Code3,,,,,,,,Original Order
Amphibian,Frog,,,Argentine Horned Frog / Ornate Pacman Frog,,,Argentine Horned Frog / Ornate Pacman Frog  ,Ceratophrys ornata,,Animalia,Chordata,Amphibia,Anura,,,,,Ceratophryidae,,,Ceratophrys,,ornata,,,,Amphibian > Frog,Ceratophrys > ornata,"Argentine Horned Frog / Ornate Pacman Frog
 > Ceratophrys ornata",AMFRO,ORPAC,,,,,,,,,0
Amphibian,Frog,,,Pacman Frog,,,Pacman Frog  ,Ceratophrys sp*,,Animalia,Chordata,Amphibia,Anura,,,,,Ceratophryidae,,,Ceratophrys,,sp*,,,,Amphibian > Frog,Ceratophrys > sp*,"Pacman Frog
 > Ceratophrys sp*",AMFRO,PACMA,,,,,,,,,1
Amphibian,Frog,,,Poison Dart Frog - Splash Backed,Splash-Backed Poison Dart Frog,Splash-Backed Poison Dart Frog,Poison Dart Frog - Splash Backed Splash-Backed Poison Dart Frog Splash-Backed Poison Dart Frog,Adelphobates galactonotus,,Animalia,Chordata,Amphibia,Anura,,,,Dendrobatoidea,Dendrobatidae,,,Adelphobates ,,galactonotus,,,,Amphibian > Frog,Adelphobates > galactonotus,"Poison Dart Frog - Splash Backed
 > Adelphobates galactonotus",AMFRO,PDGAL,,,,,,,,,2
Amphibian,Frog,,,Poison Dart Frog - Splash Backed - Blue,Splash-Backed Poison Dart Frog Blue Galact,Splash-Backed Poison Dart Frog,Poison Dart Frog - Splash Backed - Blue Splash-Backed Poison Dart Frog Blue Galact Splash-Backed Poison Dart Frog,Adelphobates galactonotus,,Animalia,Chordata,Amphibia,Anura,,,,Dendrobatoidea,Dendrobatidae,,,Adelphobates ,,galactonotus,"""Blue""",,,Amphibian > Frog,"Adelphobates > galactonotus > 
 > ""Blue""","Poison Dart Frog - Splash Backed - Blue
 > Adelphobates galactonotus",AMFRO,PDSBB,,,,,,,,,3
Amphibian,Frog,,,Poison Dart Frog - Green And Black,Green and Black Poison Dart Frog,Green and Black Poison Dart Frog,Poison Dart Frog - Green And Black Green and Black Poison Dart Frog Green and Black Poison Dart Frog,Dendrobates auratus sp.,,Animalia,Chordata,Amphibia,Anura,,,,,Dendrobatidae,,,Dendrobates,,auratus,,,,Amphibian > Frog,Dendrobates > auratus,"Poison Dart Frog - Green And Black
 > Dendrobates auratus sp.",AMFRO,PDGAB,,,,,,,,,4
Amphibian,Frog,,,Poison Dart Frog - Pena Blanca,Green and Black Poison Dart Frog,Pena Blanca Green and Black Poison Dart Frog,Poison Dart Frog - Pena Blanca Green and Black Poison Dart Frog Pena Blanca Green and Black Poison Dart Frog,"Dendrobates auratus sp. ""Pena Blanca""",,Animalia,Chordata,Amphibia,Anura,,,,Dendrobatoidea,Dendrobatidae,,,Dendrobates,,auratus,"""Pena Blanca""",,,Amphibian > Frog,"Dendrobates > auratus > 
 > ""Pena Blanca""","Poison Dart Frog - Pena Blanca
 > Dendrobates auratus sp. ""Pena Blanca""",AMFRO,PDBPL,,,,,,,,,5
Amphibian,Frog,,,Poison Dart Frog  - Birkhahn,Birkhahn Poison Dart Frog,Birkhahn Green and Black Poison Dart Frog,Poison Dart Frog  - Birkhahn Birkhahn Poison Dart Frog Birkhahn Green and Black Poison Dart Frog,"Dendrobates auratus sp. ""Birkhahn""",,Animalia,Chordata,Amphibia,Anura,,,,Dendrobatoidea,Dendrobatidae,,,Dendrobates,,auratus,"""Birkhahn""",,,Amphibian > Frog,"Dendrobates > auratus > 
 > ""Birkhahn""","Poison Dart Frog - Birkhahn
 > Dendrobates auratus sp. ""Birkhahn""",AMFRO,PDBIR,,,,,,,,,6
Amphibian,Frog,,,Poison Dart Frog  - Colombian Yellow Capurgana,Colombian Yellow Capurgana Poison Dart Frog,Colombian Yellow capurgana Green and Black Poison Dart Frog,Poison Dart Frog  - Colombian Yellow Capurgana Colombian Yellow Capurgana Poison Dart Frog Colombian Yellow capurgana Green and Black Poison Dart Frog,"Dendrobates auratus sp. ""Colombian Yellow Capurgana""",,Animalia,Chordata,Amphibia,Anura,,,,Dendrobatoidea,Dendrobatidae,,,Dendrobates,,auratus,"""Colombian Yellow capurgana""",,,Amphibian > Frog,"Dendrobates > auratus > 
 > ""Colombian Yellow capurgana""","Poison Dart Frog - Colombian Yellow Capurgana
 > Dendrobates auratus sp. ""Colombian Yellow Capurgana""",AMFRO,PDCAP,,,,,,,,,7
Amphibian,Frog,,,Poison Dart Frog - Super Blue,Green and Black Poison Dart Frog - Super Blue,Super Blue Green and Black Poison Dart Frog,Poison Dart Frog - Super Blue Green and Black Poison Dart Frog - Super Blue Super Blue Green and Black Poison Dart Frog,"Dendrobates auratus sp. ""Super Blue""",,Animalia,Chordata,Amphibia,Anura,,,,Dendrobatoidea,Dendrobatidae,,,Dendrobates,,auratus,"""Super Blue""",,,Amphibian > Frog,"Dendrobates > auratus > 
 > ""Super Blue""","Poison Dart Frog - Super Blue
 > Dendrobates auratus sp. ""Super Blue""",AMFRO,PDSPB,,,,,,,,,8
Amphibian,Frog,,,Poison Dart Frog - Microspot,Green and Black Poison Dart Frog - Microspot,Super Blue Green and Black Poison Dart Frog,Poison Dart Frog - Microspot Green and Black Poison Dart Frog - Microspot Super Blue Green and Black Poison Dart Frog,"Dendrobates auratus sp. ""Microspot""",,Animalia,Chordata,Amphibia,Anura,,,,Dendrobatoidea,Dendrobatidae,,,Dendrobates,,auratus,"""Microspot""",,,Amphibian > Frog,"Dendrobates > auratus > 
 > ""Microspot""","Poison Dart Frog - Microspot
 > Dendrobates auratus sp. ""Microspot""",AMFRO,PDMIC,,,,,,,,,9
