[INFO  | 2023-05-13 02:23:35] - Script started execution!
[INFO  | 2023-05-13 02:27:28] - Script started execution!
[DEBUG  | 2023-05-13 02:27:28] - Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
[DEBUG  | 2023-05-13 02:27:28] - Making request: POST https://oauth2.googleapis.com/token
[DEBUG  | 2023-05-13 02:27:28] - Starting new HTTPS connection (1): oauth2.googleapis.com:443
[DEBUG  | 2023-05-13 02:27:29] - https://oauth2.googleapis.com:443 "POST /token HTTP/1.1" 200 None
[DEBUG  | 2023-05-13 02:27:29] - Starting new HTTPS connection (1): sheets.googleapis.com:443
[DEBUG  | 2023-05-13 02:27:29] - https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1nUHVUJpmMffuB-sQ_caVUAD6gpK2KSnGVdOTLw_Ztl0?includeGridData=false HTTP/1.1" 200 None
[DEBUG  | 2023-05-13 02:27:30] - https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1nUHVUJpmMffuB-sQ_caVUAD6gpK2KSnGVdOTLw_Ztl0?includeGridData=false HTTP/1.1" 200 None
[DEBUG  | 2023-05-13 02:27:31] - https://sheets.googleapis.com:443 "GET /v4/spreadsheets/1nUHVUJpmMffuB-sQ_caVUAD6gpK2KSnGVdOTLw_Ztl0/values/%27Names_Src_Details%27 HTTP/1.1" 200 None
[DEBUG  | 2023-05-13 02:39:06] - Resetting dropped connection: sheets.googleapis.com
[DEBUG  | 2023-05-13 02:39:10] - https://sheets.googleapis.com:443 "PUT /v4/spreadsheets/1nUHVUJpmMffuB-sQ_caVUAD6gpK2KSnGVdOTLw_Ztl0/values/%27Names_Src_Details%27%21AO3?valueInputOption=RAW HTTP/1.1" 200 None
[DEBUG  | 2023-05-13 02:39:12] - https://sheets.googleapis.com:443 "PUT /v4/spreadsheets/1nUHVUJpmMffuB-sQ_caVUAD6gpK2KSnGVdOTLw_Ztl0/values/%27Names_Src_Details%27%21AP3?valueInputOption=RAW HTTP/1.1" 200 None
[DEBUG  | 2023-05-13 02:39:14] - https://sheets.googleapis.com:443 "PUT /v4/spreadsheets/1nUHVUJpmMffuB-sQ_caVUAD6gpK2KSnGVdOTLw_Ztl0/values/%27Names_Src_Details%27%21AQ3?valueInputOption=RAW HTTP/1.1" 200 None
[DEBUG  | 2023-05-13 02:39:15] - https://sheets.googleapis.com:443 "PUT /v4/spreadsheets/1nUHVUJpmMffuB-sQ_caVUAD6gpK2KSnGVdOTLw_Ztl0/values/%27Names_Src_Details%27%21AR3?valueInputOption=RAW HTTP/1.1" 200 None
[DEBUG  | 2023-05-13 02:39:19] - https://sheets.googleapis.com:443 "PUT /v4/spreadsheets/1nUHVUJpmMffuB-sQ_caVUAD6gpK2KSnGVdOTLw_Ztl0/values/%27Names_Src_Details%27%21AS3?valueInputOption=RAW HTTP/1.1" 200 None
[DEBUG  | 2023-05-13 02:39:19] - https://sheets.googleapis.com:443 "PUT /v4/spreadsheets/1nUHVUJpmMffuB-sQ_caVUAD6gpK2KSnGVdOTLw_Ztl0/values/%27Names_Src_Details%27%21AT3?valueInputOption=RAW HTTP/1.1" 200 None
